startloc,weight,workload,trace,group
194,0.889558,xs.XL100hash,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/xs.XL100hash-194B.champsimtrace.xz,gaps
5088,0.764587,tc.web,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/tc.web-5088B.champsimtrace.xz,gaps
3876,0.0728902,tc.web,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/tc.web-3876B.champsimtrace.xz,gaps
2259,0.154067,tc.web,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/tc.web-2259B.champsimtrace.xz,gaps
876,0.474576,bc.twitter,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/bc.twitter-876B.champsimtrace.xz,gaps
2320,0.0622783,bc.twitter,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/bc.twitter-2320B.champsimtrace.xz,gaps
1658,0.123768,bc.twitter,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/bc.twitter-1658B.champsimtrace.xz,gaps
309,0.22231,bc.twitter,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/bc.twitter-309B.champsimtrace.xz,gaps
2209,0.858491,pr.urand,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/pr.urand-2209B.champsimtrace.xz,gaps
129,0.0590648,pr.urand,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/pr.urand-129B.champsimtrace.xz,gaps
4460,0.380776,tc.twitter,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/tc.twitter-4460B.champsimtrace.xz,gaps
2097,0.372206,tc.twitter,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/tc.twitter-2097B.champsimtrace.xz,gaps
34,0.0672156,tc.twitter,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/tc.twitter-34B.champsimtrace.xz,gaps
5663,0.171904,tc.twitter,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/tc.twitter-5663B.champsimtrace.xz,gaps
7,0.0555556,xs.XL100nuclide,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/xs.XL100nuclide-7B.champsimtrace.xz,gaps
185,0.247166,xs.XL100nuclide,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/xs.XL100nuclide-185B.champsimtrace.xz,gaps
296,0.0963719,xs.XL100nuclide,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/xs.XL100nuclide-296B.champsimtrace.xz,gaps
577,0.365079,xs.XL100nuclide,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/xs.XL100nuclide-577B.champsimtrace.xz,gaps
829,0.230159,xs.XL100nuclide,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/xs.XL100nuclide-829B.champsimtrace.xz,gaps
704,0.0702479,bc.web,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/bc.web-704B.champsimtrace.xz,gaps
1362,0.473967,bc.web,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/bc.web-1362B.champsimtrace.xz,gaps
1627,0.196694,bc.web,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/bc.web-1627B.champsimtrace.xz,gaps
2078,0.178926,bc.web,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/bc.web-2078B.champsimtrace.xz,gaps
98,0.056338,cc.web,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/cc.web-98B.champsimtrace.xz,gaps
99,0.112676,cc.web,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/cc.web-99B.champsimtrace.xz,gaps
35,0.0704225,cc.web,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/cc.web-35B.champsimtrace.xz,gaps
13,0.0915493,cc.web,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/cc.web-13B.champsimtrace.xz,gaps
34,0.105634,cc.web,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/cc.web-34B.champsimtrace.xz,gaps
101,0.105634,cc.web,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/cc.web-101B.champsimtrace.xz,gaps
24,0.274648,cc.web,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/cc.web-24B.champsimtrace.xz,gaps
100,0.15493,cc.web,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/cc.web-100B.champsimtrace.xz,gaps
2469,0.273205,tc.kron,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/tc.kron-2469B.champsimtrace.xz,gaps
1058,0.191414,tc.kron,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/tc.kron-1058B.champsimtrace.xz,gaps
4490,0.462583,tc.kron,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/tc.kron-4490B.champsimtrace.xz,gaps
0,0.333333,tc.road,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/tc.road-0B.champsimtrace.xz,gaps
1,0.333333,tc.road,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/tc.road-1B.champsimtrace.xz,gaps
2,0.333333,tc.road,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/tc.road-2B.champsimtrace.xz,gaps
75,0.0679612,xs.XL64unionized,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/xs.XL64unionized-75B.champsimtrace.xz,gaps
66,0.213592,xs.XL64unionized,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/xs.XL64unionized-66B.champsimtrace.xz,gaps
28,0.475728,xs.XL64unionized,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/xs.XL64unionized-28B.champsimtrace.xz,gaps
56,0.116505,xs.XL64unionized,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/xs.XL64unionized-56B.champsimtrace.xz,gaps
